route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
16-5-1,16,1,Forest Hills - McCormack Housing via South Bay Center,,2,50160100,45682526
16-9-1,16,1,Forest Hills Station - Andrew Station via South Bay Center,,2,50160103,45682527
16-3-1,16,1,Forest Hills Station - Andrew Station,,2,50160107,45682514
16-2-1,16,1,Forest Hills Station - Harbor Point,Weekdays only,2,50160111,45682513
16-8-1,16,1,Forest Hills Station - Harbor Point via South Bay Center,Weekdays only,2,50160112,45682515
17-_-0,17,0,Andrew Station - Fields Corner Station,,1,50170000,45682073
17-_-1,17,1,Fields Corner Station - Andrew Station,,1,50170100,45682074
18-_-0,18,0,Andrew Station - Ashmont Station,,1,50180000,45682085
18-_-1,18,1,Ashmont Station - Andrew Station,,1,50180100,45682086
19-3-0,19,0,Kenmore Station - Fields Corner Station,Weekdays only,1,50190000,45682252
19-_-0,19,0,Ruggles Station - Fields Corner Station,Weekdays only,2,50190002,45682092
19-1-0,19,0,Malcolm X Blvd - Fields Corner Station,School days only,3,50190004,45682238
19-E-0,19,0,Ave Louis Pasteur - Fields Corner Station,School days only,3,50190005,45682233_1
19-F-0,19,0,Warren St & Townsend St - Fields Corner Station,School days only,3,50190006,45682229_1
19-3-1,19,1,Fields Corner Station - Kenmore Station,Weekdays only,1,50190100,45682250
19-_-1,19,1,Fields Corner Station - Ruggles Station,Weekdays only,2,50190102,45682093
21-_-0,21,0,Forest Hills Station - Ashmont Station,,1,50210000,45523724
21-_-1,21,1,Ashmont Station - Forest Hills Station,,1,50210100,45523736
22-_-0,22,0,Ruggles Station - Ashmont Station,,1,50220000,45684240
22-_-1,22,1,Ashmont Station - Ruggles Station,,1,50220100,45684241
23-_-0,23,0,Ruggles Station - Ashmont Station,,1,50230000,45684116
23-1-0,23,0,Townsend St & Warren St - Ashmont Station,School days only,3,50230004,45682231
23-_-1,23,1,Ashmont Station - Ruggles Station,,1,50230100,45684004
23-2-1,23,1,Ashmont Station - Nubian Station,Weekday mornings only,3,50230104,45683666
24-_-0,24,0,Mattapan Station - Wakefield Ave & Truman Pkwy,,1,50240000,45522398
24-1-0,24,0,Logan Square - Wakefield Ave & Truman Pkwy,Weekday early mornings only,3,50240004,45522725
24-_-1,24,1,Wakefield Ave & Truman Pkwy - Mattapan Station,Weekdays only,1,50240100,45522399
24-4-1,24,1,Logan Square - Mattapan Station,Weekday early mornings only,3,50240102,45522947
2427-2-0,2427,0,Ashmont Station - Wakefield Ave & Truman Pkwy,,1,50241000,45522961
2427-2-1,2427,1,Wakefield Ave & Truman Pkwy - Ashmont Station,,1,50241100,45522960
2427-5-1,2427,1,Logan Square - Ashmont Station,Early mornings only,3,50241104,45525215
26-1-0,26,0,Gallivan Blvd - Ashmont Station via Washington St,,1,50260000,45522878
26-2-0,26,0,Gallivan Blvd - Ashmont Station via Norfolk St,,2,50260004,45522830
26-1-1,26,1,Ashmont Station - Gallivan Blvd via Norfolk St,,1,50260100,45522877
26-2-1,26,1,Ashmont Station - Gallivan Blvd via Washington St,,2,50260104,45522829
27-_-0,27,0,Ashmont Station - Mattapan Station,Weekdays only,1,50270000,45523252
27-B-0,27,0,Ashmont Station - Mattapan Station,School days only,3,50270002,45523711_1
27-_-1,27,1,Mattapan Station - Ashmont Station,Weekdays only,1,50270100,45523251
27-A-1,27,1,Mattapan Station - Ashmont Station,School days only,3,50270102,45523710_3
28-_-0,28,0,Ruggles Station - Mattapan Station,,1,50280000,45965031
28-9-0,28,0,Ave Louis Pasteur - Mattapan Station,School days only,3,50280004,45522722
28-6-0,28,0,Malcolm X Blvd - Mattapan Station (Omits Nubian Station),School days only,3,50280005,45682247
28-_-1,28,1,Mattapan Station - Ruggles Station,,1,50280100,45965025
28-2-1,28,1,Mattapan Station - Nubian Station,Early mornings only,3,50280104,45682177
29-5-0,29,0,Jackson Square Station - Mattapan Station,Weekdays only,1,50290000,45522401
29-1-0,29,0,Jackson Square Station - Mattapan Station via Franklin Field,Weekdays only,2,50290002,45522410
29-_-0,29,0,Ruggles Station - Mattapan Station,,2,50290004,45522432
29-5-1,29,1,Mattapan Station - Jackson Square Station,Weekdays only,1,50290100,45522400
29-1-1,29,1,Mattapan Station - Jackson Square Station via Franklin Field,Weekdays only,2,50290102,45522406
29-_-1,29,1,Mattapan Station - Ruggles Station,Evenings only,2,50290103,45522438
30-2-0,30,0,Forest Hills Station - Mattapan Station,,1,50300000,45522456
30-A-0,30,0,Roslindale Square - Mattapan Station,School days only,3,50300004,45523710_2
30-2-1,30,1,Mattapan Station - Forest Hills Station,,1,50300100,45522457
30-A-1,30,1,Mattapan Station - Roslindale Square,School days only,3,50300104,45523711_2
31-_-0,31,0,Forest Hills Station - Mattapan Station,,1,50310000,45523872
31-_-1,31,1,Mattapan Station - Forest Hills Station,,1,50310100,45523969
32-1-0,32,0,Forest Hills Station - Wolcott Square,,1,50320000,45524474
32-_-0,32,0,Forest Hills Station - Cleary Square,Weekdays only,2,50320004,45524540
32-3-0,32,0,Forest Hills Station - Wolcott Square via Westinghouse Plaza,AM peak hours only,3,50320006,45523699
32-1-1,32,1,Wolcott Square - Forest Hills Station,,1,50320100,45524475
32-_-1,32,1,Cleary Square - Forest Hills Station,Weekdays only,2,50320104,45524508
32-3-1,32,1,Wolcott Square - Forest Hills Station via Westinghouse Plaza,Weekday middays only,3,50320106,45523700
32-9-1,32,1,Townsend St & Humboldt Ave - Wolcott Square,School days only,3,50320107,45522972
3233-5-0,3233,0,Forest Hills Station - River St & Milton St,Early mornings only,1,50321000,45522489
33-5-0,33,0,Mattapan Station - River St & Milton St via West Milton St (AM Route),,1,50330000,45522491
